repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2015-07-18,8
BVLC/caffe,IssueCommentEvent,2018-03-03,8
BVLC/caffe,IssueCommentEvent,2015-01-31,8
BVLC/caffe,WatchEvent,2015-08-07,8
BVLC/caffe,IssueCommentEvent,2017-10-18,8
BVLC/caffe,IssueCommentEvent,2015-07-26,8
BVLC/caffe,IssueCommentEvent,2015-04-04,8
BVLC/caffe,WatchEvent,2016-01-30,8
BVLC/caffe,WatchEvent,2015-03-05,8
BVLC/caffe,IssueCommentEvent,2017-03-25,8
BVLC/caffe,IssueCommentEvent,2016-07-02,8
BVLC/caffe,WatchEvent,2016-02-07,8
BVLC/caffe,WatchEvent,2016-01-31,8
BVLC/caffe,WatchEvent,2017-10-05,8
BVLC/caffe,IssueCommentEvent,2017-09-20,8
BVLC/caffe,IssueCommentEvent,2015-04-02,8
BVLC/caffe,IssueCommentEvent,2017-02-07,8
BVLC/caffe,WatchEvent,2015-04-28,8
BVLC/caffe,WatchEvent,2018-04-06,8
BVLC/caffe,IssueCommentEvent,2015-12-15,8
BVLC/caffe,WatchEvent,2015-11-27,8
BVLC/caffe,IssueCommentEvent,2016-09-18,8
BVLC/caffe,IssueCommentEvent,2017-11-22,8
BVLC/caffe,IssueCommentEvent,2017-09-11,8
BVLC/caffe,WatchEvent,2015-01-25,8
BVLC/caffe,IssueCommentEvent,2016-09-08,8
BVLC/caffe,WatchEvent,2015-10-17,8
BVLC/caffe,IssueCommentEvent,2015-04-24,8
BVLC/caffe,IssueCommentEvent,2018-03-15,8
BVLC/caffe,IssueCommentEvent,2017-02-24,8
BVLC/caffe,IssueCommentEvent,2018-01-15,8
BVLC/caffe,IssueCommentEvent,2017-06-07,8
BVLC/caffe,IssueCommentEvent,2015-10-24,8
BVLC/caffe,WatchEvent,2015-05-17,8
